run_id,subject,session,band,fmin,fmax,channel_set,n_channels,win_sec,step_sec,time_center_s,acc_mean,n_trials,n_splits,elapsed_s,pipeline
8,1,7,all,0.5,60.0,motor_17,17,2.0,0.2,1.40234375,0.7349397590361446,415,5,6.448713086999987,riem+svm_rbf_time_resolved
8,1,7,all,0.5,60.0,motor_17,17,2.0,0.2,1.60546875,0.7253012048192773,415,5,6.448713086999987,riem+svm_rbf_time_resolved
9,1,7,delta,0.5,4.0,non_motor,13,0.5,0.2,0.24609375,0.5855421686746988,415,5,14.976404972000012,riem+svm_rbf_time_resolved
9,1,7,delta,0.5,4.0,non_motor,13,0.5,0.2,0.44921875,0.5566265060240965,415,5,14.976404972000012,riem+svm_rbf_time_resolved
9,1,7,delta,0.5,4.0,non_motor,13,0.5,0.2,0.65234375,0.5373493975903615,415,5,14.976404972000012,riem+svm_rbf_time_resolved
9,1,7,delta,0.5,4.0,non_motor,13,0.5,0.2,0.85546875,0.5108433734939759,415,5,14.976404972000012,riem+svm_rbf_time_resolved
9,1,7,delta,0.5,4.0,non_motor,13,0.5,0.2,1.05859375,0.46506024096385545,415,5,14.976404972000012,riem+svm_rbf_time_resolved
9,1,7,delta,0.5,4.0,non_motor,13,0.5,0.2,1.26171875,0.3710843373493976,415,5,14.976404972000012,riem+svm_rbf_time_resolved
9,1,7,delta,0.5,4.0,non_motor,13,0.5,0.2,1.46484375,0.38795180722891565,415,5,14.976404972000012,riem+svm_rbf_time_resolved
9,1,7,delta,0.5,4.0,non_motor,13,0.5,0.2,1.66796875,0.4048192771084338,415,5,14.976404972000012,riem+svm_rbf_time_resolved
9,1,7,delta,0.5,4.0,non_motor,13,0.5,0.2,1.87109375,0.4698795180722891,415,5,14.976404972000012,riem+svm_rbf_time_resolved
9,1,7,delta,0.5,4.0,non_motor,13,0.5,0.2,2.07421875,0.48674698795180726,415,5,14.976404972000012,riem+svm_rbf_time_resolved
9,1,7,delta,0.5,4.0,non_motor,13,0.5,0.2,2.27734375,0.5036144578313253,415,5,14.976404972000012,riem+svm_rbf_time_resolved
9,1,7,delta,0.5,4.0,non_motor,13,0.5,0.2,2.48046875,0.5253012048192771,415,5,14.976404972000012,riem+svm_rbf_time_resolved
10,1,7,delta,0.5,4.0,non_motor,13,1.0,0.2,0.49609375,0.6144578313253012,415,5,11.517305623999988,riem+svm_rbf_time_resolved
10,1,7,delta,0.5,4.0,non_motor,13,1.0,0.2,0.69921875,0.6409638554216868,415,5,11.517305623999988,riem+svm_rbf_time_resolved
10,1,7,delta,0.5,4.0,non_motor,13,1.0,0.2,0.90234375,0.5927710843373495,415,5,11.517305623999988,riem+svm_rbf_time_resolved
10,1,7,delta,0.5,4.0,non_motor,13,1.0,0.2,1.10546875,0.5397590361445783,415,5,11.517305623999988,riem+svm_rbf_time_resolved
10,1,7,delta,0.5,4.0,non_motor,13,1.0,0.2,1.30859375,0.48192771084337344,415,5,11.517305623999988,riem+svm_rbf_time_resolved
10,1,7,delta,0.5,4.0,non_motor,13,1.0,0.2,1.51171875,0.49879518072289153,415,5,11.517305623999988,riem+svm_rbf_time_resolved
10,1,7,delta,0.5,4.0,non_motor,13,1.0,0.2,1.71484375,0.5349397590361445,415,5,11.517305623999988,riem+svm_rbf_time_resolved
10,1,7,delta,0.5,4.0,non_motor,13,1.0,0.2,1.91796875,0.5277108433734939,415,5,11.517305623999988,riem+svm_rbf_time_resolved
