subject,session,fold,time_center_s,window_start_s,window_stop_s,acc,pipeline,n_trials_session,n_trials_test,n_channels,win_sec,step_sec,train_win_start_s,train_win_stop_s
1,3,3,1.46484375,0.96875,1.96875,0.4166666666666667,riem+svm_rbf_trainfixed_testsliding,422,84,17,1.0,0.1,0.5,1.5
1,3,3,1.55859375,1.0625,2.0625,0.44047619047619047,riem+svm_rbf_trainfixed_testsliding,422,84,17,1.0,0.1,0.5,1.5
1,3,3,1.65234375,1.15625,2.15625,0.4166666666666667,riem+svm_rbf_trainfixed_testsliding,422,84,17,1.0,0.1,0.5,1.5
1,3,3,1.74609375,1.25,2.25,0.38095238095238093,riem+svm_rbf_trainfixed_testsliding,422,84,17,1.0,0.1,0.5,1.5
1,3,3,1.83984375,1.34375,2.34375,0.40476190476190477,riem+svm_rbf_trainfixed_testsliding,422,84,17,1.0,0.1,0.5,1.5
1,3,3,1.93359375,1.4375,2.4375,0.39285714285714285,riem+svm_rbf_trainfixed_testsliding,422,84,17,1.0,0.1,0.5,1.5
1,3,4,0.99609375,0.5,1.5,0.5119047619047619,riem+svm_rbf_trainfixed_testsliding,422,84,17,1.0,0.1,0.5,1.5
1,3,4,1.08984375,0.59375,1.59375,0.5238095238095238,riem+svm_rbf_trainfixed_testsliding,422,84,17,1.0,0.1,0.5,1.5
1,3,4,1.18359375,0.6875,1.6875,0.4880952380952381,riem+svm_rbf_trainfixed_testsliding,422,84,17,1.0,0.1,0.5,1.5
1,3,4,1.27734375,0.78125,1.78125,0.4642857142857143,riem+svm_rbf_trainfixed_testsliding,422,84,17,1.0,0.1,0.5,1.5
1,3,4,1.37109375,0.875,1.875,0.44047619047619047,riem+svm_rbf_trainfixed_testsliding,422,84,17,1.0,0.1,0.5,1.5
1,3,4,1.46484375,0.96875,1.96875,0.36904761904761907,riem+svm_rbf_trainfixed_testsliding,422,84,17,1.0,0.1,0.5,1.5
1,3,4,1.55859375,1.0625,2.0625,0.39285714285714285,riem+svm_rbf_trainfixed_testsliding,422,84,17,1.0,0.1,0.5,1.5
1,3,4,1.65234375,1.15625,2.15625,0.38095238095238093,riem+svm_rbf_trainfixed_testsliding,422,84,17,1.0,0.1,0.5,1.5
1,3,4,1.74609375,1.25,2.25,0.42857142857142855,riem+svm_rbf_trainfixed_testsliding,422,84,17,1.0,0.1,0.5,1.5
1,3,4,1.83984375,1.34375,2.34375,0.34523809523809523,riem+svm_rbf_trainfixed_testsliding,422,84,17,1.0,0.1,0.5,1.5
1,3,4,1.93359375,1.4375,2.4375,0.35714285714285715,riem+svm_rbf_trainfixed_testsliding,422,84,17,1.0,0.1,0.5,1.5
1,3,5,0.99609375,0.5,1.5,0.4523809523809524,riem+svm_rbf_trainfixed_testsliding,422,84,17,1.0,0.1,0.5,1.5
1,3,5,1.08984375,0.59375,1.59375,0.47619047619047616,riem+svm_rbf_trainfixed_testsliding,422,84,17,1.0,0.1,0.5,1.5
1,3,5,1.18359375,0.6875,1.6875,0.5357142857142857,riem+svm_rbf_trainfixed_testsliding,422,84,17,1.0,0.1,0.5,1.5
1,3,5,1.27734375,0.78125,1.78125,0.5238095238095238,riem+svm_rbf_trainfixed_testsliding,422,84,17,1.0,0.1,0.5,1.5
1,3,5,1.37109375,0.875,1.875,0.5833333333333334,riem+svm_rbf_trainfixed_testsliding,422,84,17,1.0,0.1,0.5,1.5
1,3,5,1.46484375,0.96875,1.96875,0.5238095238095238,riem+svm_rbf_trainfixed_testsliding,422,84,17,1.0,0.1,0.5,1.5
1,3,5,1.55859375,1.0625,2.0625,0.5238095238095238,riem+svm_rbf_trainfixed_testsliding,422,84,17,1.0,0.1,0.5,1.5
1,3,5,1.65234375,1.15625,2.15625,0.5,riem+svm_rbf_trainfixed_testsliding,422,84,17,1.0,0.1,0.5,1.5
1,3,5,1.74609375,1.25,2.25,0.4166666666666667,riem+svm_rbf_trainfixed_testsliding,422,84,17,1.0,0.1,0.5,1.5
1,3,5,1.83984375,1.34375,2.34375,0.40476190476190477,riem+svm_rbf_trainfixed_testsliding,422,84,17,1.0,0.1,0.5,1.5
1,3,5,1.93359375,1.4375,2.4375,0.42857142857142855,riem+svm_rbf_trainfixed_testsliding,422,84,17,1.0,0.1,0.5,1.5
1,5,1,0.99609375,0.5,1.5,0.5568181818181818,riem+svm_rbf_trainfixed_testsliding,440,88,17,1.0,0.1,0.5,1.5
1,5,1,1.08984375,0.59375,1.59375,0.5227272727272727,riem+svm_rbf_trainfixed_testsliding,440,88,17,1.0,0.1,0.5,1.5
1,5,1,1.18359375,0.6875,1.6875,0.5,riem+svm_rbf_trainfixed_testsliding,440,88,17,1.0,0.1,0.5,1.5
1,5,1,1.27734375,0.78125,1.78125,0.5,riem+svm_rbf_trainfixed_testsliding,440,88,17,1.0,0.1,0.5,1.5
1,5,1,1.37109375,0.875,1.875,0.48863636363636365,riem+svm_rbf_trainfixed_testsliding,440,88,17,1.0,0.1,0.5,1.5
1,5,1,1.46484375,0.96875,1.96875,0.48863636363636365,riem+svm_rbf_trainfixed_testsliding,440,88,17,1.0,0.1,0.5,1.5
1,5,1,1.55859375,1.0625,2.0625,0.42045454545454547,riem+svm_rbf_trainfixed_testsliding,440,88,17,1.0,0.1,0.5,1.5
1,5,1,1.65234375,1.15625,2.15625,0.48863636363636365,riem+svm_rbf_trainfixed_testsliding,440,88,17,1.0,0.1,0.5,1.5
1,5,1,1.74609375,1.25,2.25,0.5113636363636364,riem+svm_rbf_trainfixed_testsliding,440,88,17,1.0,0.1,0.5,1.5
1,5,1,1.83984375,1.34375,2.34375,0.45454545454545453,riem+svm_rbf_trainfixed_testsliding,440,88,17,1.0,0.1,0.5,1.5
1,5,1,1.93359375,1.4375,2.4375,0.4090909090909091,riem+svm_rbf_trainfixed_testsliding,440,88,17,1.0,0.1,0.5,1.5
1,5,2,0.99609375,0.5,1.5,0.6022727272727273,riem+svm_rbf_trainfixed_testsliding,440,88,17,1.0,0.1,0.5,1.5
1,5,2,1.08984375,0.59375,1.59375,0.6022727272727273,riem+svm_rbf_trainfixed_testsliding,440,88,17,1.0,0.1,0.5,1.5
1,5,2,1.18359375,0.6875,1.6875,0.5,riem+svm_rbf_trainfixed_testsliding,440,88,17,1.0,0.1,0.5,1.5
1,5,2,1.27734375,0.78125,1.78125,0.5,riem+svm_rbf_trainfixed_testsliding,440,88,17,1.0,0.1,0.5,1.5
1,5,2,1.37109375,0.875,1.875,0.4431818181818182,riem+svm_rbf_trainfixed_testsliding,440,88,17,1.0,0.1,0.5,1.5
1,5,2,1.46484375,0.96875,1.96875,0.45454545454545453,riem+svm_rbf_trainfixed_testsliding,440,88,17,1.0,0.1,0.5,1.5
1,5,2,1.55859375,1.0625,2.0625,0.45454545454545453,riem+svm_rbf_trainfixed_testsliding,440,88,17,1.0,0.1,0.5,1.5
1,5,2,1.65234375,1.15625,2.15625,0.45454545454545453,riem+svm_rbf_trainfixed_testsliding,440,88,17,1.0,0.1,0.5,1.5
1,5,2,1.74609375,1.25,2.25,0.4659090909090909,riem+svm_rbf_trainfixed_testsliding,440,88,17,1.0,0.1,0.5,1.5
1,5,2,1.83984375,1.34375,2.34375,0.38636363636363635,riem+svm_rbf_trainfixed_testsliding,440,88,17,1.0,0.1,0.5,1.5
